no,season,daytime,night,price_sum,year_price_sum,hosin,general,anjin,dongyang,tongun,tayoung,carwash_sum,year_carwash_sum
270 ,2022-09-27,"11,425,388 ","6,439,209 ","17,864,597 ",,,,,,,,117 ,
271 ,2022-09-28,"10,517,708 ","6,345,516 ","16,863,224 ",,,,,,,,110 ,
272 ,2022-09-29,"11,719,883 ","6,623,384 ","18,343,267 ",,,,,,,,123 ,
273 ,2022-09-30,"11,361,446 ","1,115,173 ","12,476,619 ",,,,,,,,110 ,
274 ,2022-10-01,"5,623,054 ","15,853,908 ","21,476,962 ",,,,,,,,136 ,
275 ,2022-10-02,"6,314,336 ","3,842,334 ","10,156,670 ",,,,,,,,39 ,
276 ,2022-10-03,"5,676,610 ","3,633,796 ","9,310,406 ",,,,,,,,0 ,
277 ,2022-10-04,"11,130,661 ","7,063,068 ","18,193,729 ",,,,,,,,100 ,
278 ,2022-10-05,"10,860,249 ","6,794,088 ","17,654,337 ",,,,,,,,134 ,
279 ,2022-10-06,"10,136,355 ","6,661,566 ","16,797,921 ",,,,,,,,113 ,
280 ,2022-10-07,"11,139,803 ","7,883,593 ","19,023,396 ",,,,,,,,116 ,
281 ,2022-10-08,"9,580,214 ","6,266,343 ","15,846,557 ",,,,,,,,73 ,
282 ,2022-10-09,"5,932,932 ","4,141,140 ","10,074,072 ",,,,,,,,7 ,
283 ,2022-10-10,"7,565,834 ","3,425,624 ","10,991,458 ",,,,,,,,64 ,
284 ,2022-10-11,"9,988,858 ","7,752,574 ","17,741,432 ",,,,,,,,144 ,
285 ,2022-10-12,"9,868,387 ","7,055,822 ","16,924,209 ",,,,,,,,125 ,
286 ,2022-10-13,"11,487,063 ","6,777,308 ","18,264,371 ",,,,,,,,116 ,
